,0,1,2,3
240760644,2642,Paul A. Gosar,0.8575620765633379,Republican
29201047,2633,Jeff Merkley,0.0389387141217207,Democrat
43910797,2514,Sherrod Brown,0.1349708912284275,Democrat
1082334352711790593,2422,Ilhan Omar,0.0933870852325236,Democrat
250188760,2419,Ron Wyden,0.1450634144963053,Democrat
7429102,2319,Mark R. Warner,0.3947837263216863,Democrat
248735463,2306,Barbara Lee,0.0,Democrat
231510077,2286,Joaquin Castro,0.2097892413704367,Democrat
219429281,2215,Adam Kinzinger,0.5342943904783132,Republican
816719802328715264,2178,Liz Cheney,0.6397509521858209,Republican
13218102,2159,John Cornyn,0.8936231083841834,Republican
1078749802765139968,2146,Joe Neguse,0.2532402014536539,Democrat
19726613,2053,Susan M. Collins,0.5505805181312736,Republican
74508260,1951,"Bill Pascrell, Jr.",0.2434203888272312,Democrat
131546062,1932,Rick Scott,0.9650292752081522,Republican
2724095695,1918,Stacey E. Plaskett,0.2292432051390134,Democrat
24913074,1790,Jackie Speier,0.1911988862208034,Democrat
293131808,1779,Patty Murray,0.1787302629762792,Democrat
996094929733652481,1779,Debbie Lesko,0.8613829236836678,Republican
3044993235,1755,Ted Lieu,0.1879503186432577,Democrat
1080584229510172678,1734,Ayanna Pressley,0.0610679038614836,Democrat
816131319033950208,1657,Jim Banks,0.8042670017384047,Republican
1072467470,1653,Sean Patrick Maloney,0.2382597665426747,Democrat
237299871,1631,Mo Brooks,0.7224694032810643,Republican
242836537,1615,Patrick J. Leahy,0.2181989899353626,Democrat
1352287997853622273,1601,Raphael G. Warnock,0.5020157101945322,Democrat
234374703,1513,"Joe Manchin, III",0.5798140378314646,Democrat
1079769536730140672,1511,Rashida Tlaib,0.0791614605849277,Democrat
171598736,1501,"Robert P. Casey, Jr.",0.259964107923627,Democrat
1344007696555663360,1429,Madison Cawthorn,0.6766707778582691,Republican
18061669,1418,Lisa Murkowski,0.5679231692297169,Republican
2975091705,1401,Jody B. Hice,0.8312514118252166,Republican
1082790600292925440,1388,Chip Roy,0.6373685350544851,Republican
1079104563280527364,1376,Alexandria Ocasio-Cortez,0.1033679528374612,Democrat
188019606,1366,James E. Clyburn,0.2535764484221429,Democrat
1080191866509901826,1340,Jason Crow,0.3116262732658484,Democrat
827279765287559171,1323,Mike Johnson,0.7365153530336765,Republican
21406834,1316,Edward J. Markey,0.0711096144891592,Democrat
63650107,1316,Darrell Issa,0.5404092003680546,Republican
224285242,1295,Michael F. Bennet,0.3135355427680081,Democrat
13491312,1253,Tim Ryan,0.3107890788175541,Democrat
15324851,1236,Christopher A. Coons,0.4045768422313381,Democrat
2167097881,1224,Cory A. Booker,0.0914923694778499,Democrat
1080539438508400642,1195,Lauren Underwood,0.2284568053696963,Democrat
2962868158,1190,"Donald S. Beyer, Jr.",0.182503259593689,Democrat
1080844782,1158,Kyrsten Sinema,0.6292333868320839,Democrat
18137749,1154,Chris Van Hollen,0.1566348577278095,Democrat
31611298,1151,James A. Himes,0.260831740781175,Democrat
162069635,1141,Steve Cohen,0.1445563365020191,Democrat
1068481578,1121,"Angus S. King, Jr.",0.4755804102060421,Independent
1080477288955826176,1101,Mark E. Green,0.6167352812963681,Republican
239949176,1074,Karen Bass,0.1268994803070015,Democrat
22012091,1064,Steny H. Hoyer,0.257953406674436,Democrat
1324926274888888320,1062,Mark Kelly,0.4879883439554849,Democrat
2970279814,1060,Debbie Dingell,0.213914065100431,Democrat
2862577383,1018,Ken Buck,0.6799936191131959,Republican
1080292515939565568,1018,Elaine G. Luria,0.3440163597021636,Democrat
240393970,1002,Jeff Duncan,0.8759547583470508,Republican
1206227149,968,Mark Pocan,0.1270250374716892,Democrat
2856787757,966,Joni Ernst,0.9175740777284151,Republican
1099199839,960,Martin Heinrich,0.2770719428869539,Democrat
941000686275387392,957,Tina Smith,0.179055447646554,Democrat
80612021,950,Sheila Jackson Lee,0.1055943981111804,Democrat
1078401427347857408,943,Elissa Slotkin,0.3633614294438627,Democrat
814103950404239360,929,Brian J. Mast,0.7134547574489226,Republican
82453460,925,Bennie G. Thompson,0.1604373705675267,Democrat
515822213,903,Jon Tester,0.4981731755799786,Democrat
21157904,896,Richard Burr,0.6822737243589667,Republican
1083125649609506816,891,W. Gregory Steube,0.8755776210926336,Republican
234014087,888,Frederica S. Wilson,0.1249831980558544,Democrat
202206694,878,John Barrasso,0.9083208623054626,Republican
1075517806551154689,875,Veronica Escobar,0.175387258464016,Democrat
258900199,874,Carolyn B. Maloney,0.1157545495876839,Democrat
1343968646050283522,871,Byron Donalds,0.6660308251027725,Republican
1074518754,864,Tammy Baldwin,0.2150371262485411,Democrat
156333623,859,Al Green,0.1577774927661439,Democrat
109071031,858,Benjamin L. Cardin,0.2416531315545072,Democrat
2962923040,811,Ben Sasse,0.7756222406879829,Republican
1343656635907125250,808,Mary E. Miller,0.6956597311855355,Republican
2966570782,806,Ruben Gallego,0.2017779643480642,Democrat
78445977,800,Gerald E. Connolly,0.1887318910473931,Democrat
267938462,788,Zoe Lofgren,0.2297861509467951,Democrat
2964174789,787,Thom Tillis,0.9073159140461704,Republican
296361085,781,John Thune,0.8545843664213411,Republican
225921757,773,James Lankford,0.95210966714042,Republican
816298918468259841,767,Ro Khanna,0.157368325137137,Democrat
117501995,764,Maria Cantwell,0.2837643797536284,Democrat
11651202,763,Steve Daines,0.9202355708757666,Republican
2293131060,758,Katherine M. Clark,0.1680897161309726,Democrat
1347318288850825217,754,Troy E. Nehls,0.4842821004965047,Republican
242426145,740,James P. McGovern,0.1163144269549752,Democrat
1037321378,736,Mark Takano,0.1231781459310806,Democrat
19926675,721,Kevin Brady,0.5462384066054704,Republican
193732179,715,Judy Chu,0.1084659795055598,Democrat
567508925,710,Madeleine Dean,0.1891990648750671,Democrat
76456274,702,Debbie Stabenow,0.2664396269429837,Democrat
1067541214671577093,698,Mary Gay Scanlon,0.1290345472281279,Democrat
946549322,691,Margaret Wood Hassan,0.4053550971191735,Democrat
1080587263132733442,677,Sylvia R. Garcia,0.153990284628675,Democrat
1531521632,671,Joyce Beatty,0.2140532480086348,Democrat
1072008757,666,Chris Stewart,0.6635893149506601,Republican
817138492614524928,664,Ted Budd,0.9229657715876484,Republican
742735530287304704,659,Warren Davidson,0.665517593755823,Republican
18915145,649,Rob Portman,0.6498754102227259,Republican
109287731,639,Jeanne Shaheen,0.3373934507528482,Democrat
221162525,638,Patrick J. Toomey,0.721055117832038,Republican
1080569698536878081,630,Mikie Sherrill,0.2912975769449417,Democrat
23600262,627,Eleanor Holmes Norton,0.0119767735898175,Democrat
1078771401497161728,625,Abigail Davis Spanberger,0.4137015419095682,Democrat
1173978070535024642,622,Gregory F. Murphy,0.6466419418982646,Republican
1080516116395499522,613,Sharice Davids,0.2700776914088835,Democrat
7270292,611,James M. Inhofe,0.973631227493872,Republican
22044727,604,Amy Klobuchar,0.2007414977226105,Democrat
21269970,586,Roy Blunt,0.7725200951147327,Republican
1061310112013434882,584,Dean Phillips,0.4094272227536443,Democrat
2968451607,583,Bonnie Watson Coleman,0.0793047574641413,Democrat
249787913,582,Thomas R. Carper,0.3259581882955914,Democrat
384913290,576,John A. Yarmuth,0.2000262552479695,Democrat
796183515998068736,576,Stephanie N. Murphy,0.3865844342112314,Democrat
18773159,576,Scott Perry,0.8209074770572349,Republican
1045110018,575,Daniel T. Kildee,0.2585039457183576,Democrat
1351236267707654145,570,Alex Padilla,0.1922740500056459,Democrat
236511574,564,Gary C. Peters,0.4447661031996913,Democrat
843636970538618880,555,Clay Higgins,0.6799754434410054,Republican
486694111,547,Jack Reed,0.1645218833785866,Democrat
600463589,537,Mike Crapo,0.8770279680822568,Republican
240812994,533,Yvette D. Clarke,0.0921057098431057,Democrat
164369297,529,Nydia M. Velázquez,0.1108973906604968,Democrat
14845376,525,Lindsey Graham,0.693981552647093,Republican
1344325638983987201,516,Kat Cammack,0.6251027751714289,Republican
193794406,515,Shelley Moore Capito,0.7399599590479484,Republican
811313565760163844,514,Catherine Cortez Masto,0.2683512150215624,Democrat
24745957,513,"Henry C. ""Hank"" Johnson, Jr.",0.1301707464276719,Democrat
1343597700542038017,510,Nancy Mace,0.5271162691559607,Republican
1344481217685692416,509,Burgess Owens,0.5755594460234869,Republican
4205133682,503,Guy Reschenthaler,0.6999046894633619,Republican
242926427,498,Jaime Herrera Beutler,0.5137947033406015,Republican
264219447,493,Roger F. Wicker,0.8560821068205344,Republican
1078693601356509184,492,Mitt Romney,0.6868737634387749,Republican
1017500185356853248,485,Bill Cassidy,0.794486891798029,Republican
816833925456789505,482,Nanette Diaz Barragán,0.0943656019176108,Democrat
56864092,482,Mike Quigley,0.1782040764256481,Democrat
880480631108644864,482,Ralph Norman,1.0,Republican
1002630999052865536,480,Cori Bush,0.1769459444159003,Democrat
339822881,475,Mitch McConnell,0.694979880627228,Republican
1078355119920562176,472,Colin Z. Allred,0.295221007684662,Democrat
51228911,472,Michael R. Turner,0.5734947897995908,Republican
24195214,467,Janice D. Schakowsky,0.0483670467030733,Democrat
1082380458976051202,466,Lucy McBath,0.2727235445497216,Democrat
818554054309715969,463,Jacky Rosen,0.3605968195685579,Democrat
28599820,455,Diana DeGette,0.2001024831394248,Democrat
1343578440977494018,455,Marie Newman,0.1784363095634958,Democrat
1060370282,452,Markwayne Mullin,0.6837167590920753,Republican
1080870981877534720,448,Mike Braun,0.9689121370297938,Republican
797201048490430465,443,Claudia Tenney,0.6978103971437754,Republican
2371339658,441,Jimmy Gomez,0.1471896189654322,Democrat
22669526,441,Gwen Moore,0.1133807468606545,Democrat
1339633259349745670,438,Beth Van Duyne,0.560894298433139,Republican
381152398,437,Terri Sewell,0.248827246794749,Democrat
1071402577,431,Deb Fischer,0.8158289030679801,Republican
462143773,429,David N. Cicilline,0.1617575371495625,Democrat
1096059529,427,James E. Risch,0.8925132038549123,Republican
584012853,425,Doug Lamborn,0.8010520418988153,Republican
1456381091598700556,423,Shontel M. Brown,0.2511342739555433,Democrat
5558312,420,John Boozman,0.8670691629468826,Republican
1298624375692894210,419,Rand Paul,0.7308095944985634,Republican
1356714265894408196,417,Jon Ossoff,0.3981883921580715,Democrat
935368364,415,Mike Kelly,0.716099654670922,Republican
382791093,409,John Hoeven,0.8543857534436938,Republican
1410590874,408,Peter Welch,0.2066587226143879,Democrat
1262099252,405,Brian Schatz,0.2484378933304166,Democrat
2929491549,399,Brian Babin,0.9412836497752958,Republican
21111098,398,Richard C. Shelby,0.6655459661551948,Republican
140519774,395,Rosa L. DeLauro,0.1909721956677326,Democrat
1080960924687704064,395,Josh Hawley,0.8602297747530182,Republican
1076161611033968640,391,Haley M. Stevens,0.2475880716522936,Democrat
1334164871420796928,387,Peter Meijer,0.4934544816055114,Republican
28602948,386,Raúl M. Grijalva,0.0677880072132108,Democrat
18632666,385,Jerry Moran,0.8056005030535578,Republican
153944899,377,Lloyd Doggett,0.2033820747953483,Democrat
1176522535531360257,369,Dan Bishop,0.6725309108142199,Republican
1082416697380913152,367,Michael Waltz,0.6525732389661182,Republican
26424123,366,Michael T. McCaul,0.5944165927149481,Republican
1080515866255593472,364,Kelly Armstrong,0.5624474489158235,Republican
17976923,354,Cathy McMorris Rodgers,0.6372802715053405,Republican
2973870195,354,"Earl L. ""Buddy"" Carter",0.7418934177529406,Republican
237763317,354,Vicky Hartzler,0.8235431213369172,Republican
249348006,349,Anna G. Eshoo,0.2024828891941986,Democrat
25086658,348,Bill Posey,0.8407359939755917,Republican
1080574793630527505,346,Daniel Meuser,0.6694338776020236,Republican
1072158357237174272,346,Ben Cline,0.698598695323736,Republican
33977070,342,Mike Rogers,0.6020841879100844,Republican
1080277407867772930,337,Andy Levin,0.147705113328004,Democrat
1082086081238102018,336,Jahana Hayes,0.0798428331311208,Democrat
1341903465610686464,333,Ronny Jackson,0.7168338198034124,Republican
305216911,333,Bobby L. Rush,0.170172568180462,Democrat
1136060761422405633,331,Fred Keller,0.6867726071158232,Republican
442824717,331,Richard E. Neal,0.2684167960378355,Democrat
518644221,328,Brad R. Wenstrup,0.6879790497358796,Republican
2970462034,327,Kathleen M. Rice,0.3266262920457591,Democrat
30216513,326,Brad Sherman,0.2614383952551278,Democrat
19318314,325,Ben Ray Luján,0.312051719564425,Democrat
58928690,320,Adam Smith,0.1258795251042253,Democrat
1083472286089396224,320,Sean Casten,0.1833819370289796,Democrat
2914163523,317,Barry Loudermilk,0.6731080274892117,Republican
211530910,317,Bill Johnson,0.7358254469488802,Republican
1077121945,315,Lois Frankel,0.2350963313743557,Democrat
1623308912,313,Jason Smith,0.683904853497849,Republican
229966028,310,Marco Rubio,0.8983252367906939,Republican
1039879658400112640,310,Michael Cloud,0.680584488284332,Republican
50152441,308,Tom McClintock,0.6875973411207676,Republican
1078771848882593793,308,Andy Kim,0.3149603470409281,Democrat
234822928,306,Bob Gibbs,0.8227084486894457,Republican
816284664658874368,306,Jodey C. Arrington,0.6671208367104646,Republican
24735461,305,Pete Sessions,0.682272034926622,Republican
2964526557,299,Alexander Mooney,0.8156472441326487,Republican
312134473,299,Linda T. Sánchez,0.1675835843129869,Democrat
16256269,298,Virginia Foxx,0.5751383508200565,Republican
1444015610,297,Billy Long,0.6550155665546131,Republican
1080222360643485698,294,Angie Craig,0.3397863319854461,Democrat
163570705,294,Emanuel Cleaver,0.1888614211078316,Democrat
22831059,290,Cynthia M. Lummis,0.8058304964253528,Republican
233693291,289,"Eric A. ""Rick"" Crawford",0.767305084921798,Republican
1344845201479663621,288,Victoria Spartz,0.4597833862137388,Republican
1072134139560620033,288,Mike Levin,0.2181619095111033,Democrat
815966620300480514,287,Mike Gallagher,0.6558719075728625,Republican
1052896620797460481,284,Chrissy Houlahan,0.3307082965992328,Democrat
817076257770835968,283,Adriano Espaillat,0.0738864593561492,Democrat
22523087,282,Jim Cooper,0.2343589276360434,Democrat
1071102246,282,Jared Huffman,0.1690569740013325,Democrat
88806753,281,John Garamendi,0.2430818264747304,Democrat
1058051748,280,"Randy K. Weber, Sr.",0.9602302974660594,Republican
1344416719260016641,279,Yvette Herrell,0.6752787523439037,Republican
155669457,278,David E. Price,0.2235668855263039,Democrat
2891210047,277,Dan Sullivan,0.7471429394344254,Republican
199325935,277,André Carson,0.0964300342457662,Democrat
31801993,274,"Frank Pallone, Jr.",0.1995750518356931,Democrat
1051127714,270,Grace Meng,0.1399052408162684,Democrat
1079061579973439488,269,Susie Lee,0.3322317590360987,Democrat
37094727,268,Mario Diaz-Balart,0.5819389561142192,Republican
15751083,268,Michael C. Burgess,0.6749653490476787,Republican
828977216595849216,267,John H. Rutherford,0.7632265218401626,Republican
1344032292432437248,265,Lisa C. McClain,0.5852575302628138,Republican
234128524,264,Todd Young,0.7631916866460299,Republican
2968007206,264,Mark DeSaulnier,0.0953794892618954,Democrat
1344751420139040783,264,"Matthew M. Rosendale, Sr.",0.567158797330507,Republican
303861808,262,Mike Thompson,0.2645463128449674,Democrat
364415553,261,John P. Sarbanes,0.1820907262871288,Democrat
1080851152151953410,257,Josh Harder,0.334839724439023,Democrat
1318728336923787264,257,John W. Hickenlooper,0.4259430813643803,Democrat
1048784496,256,Kevin Cramer,0.9526053363189868,Republican
1274852794206388225,255,James Comer,0.609131185891614,Republican
252249233,255,Peter A. DeFazio,0.2270758595548537,Democrat
1345787285179162624,254,Diana Harshbarger,0.624189062090677,Republican
1017819745880543238,253,Jennifer Wexton,0.2523721901009892,Democrat
161791703,252,"Robert C. ""Bobby"" Scott",0.1811693919294333,Democrat
4304448314,252,Brendan F. Boyle,0.236780877256463,Democrat
1079802482640019456,252,Lori Trahan,0.2068566659605198,Democrat
1092979962,251,Cheri Bustos,0.3156322036303183,Democrat
1346873610875654147,249,Bill Hagerty,0.7836021432823572,Republican
1055730738,247,Alan S. Lowenthal,0.1050589493541113,Democrat
161411080,247,Grace F. Napolitano,0.1346510263418465,Democrat
235312723,247,Scott DesJarlais,0.7202957218176084,Republican
1344389506963808264,245,Jamaal Bowman,0.150582824094505,Democrat
229197216,245,David Schweikert,0.6416636123084939,Republican
1343740146630451200,245,Michelle Steel,0.4724753967817918,Republican
1080509366,244,Bill Foster,0.2547881357505501,Democrat
950783972,243,Ami Bera,0.2965936576586483,Democrat
815985039485837312,242,J. Luis Correa,0.2872956923615745,Democrat
237750442,242,Steve Chabot,0.6971471650381627,Republican
1082311988926124036,239,John Joyce,0.685503652883921,Republican
1075904377221722113,237,Lizzie Fletcher,0.2723829519368327,Democrat
1051446626,235,Ann Wagner,0.7100602749176872,Republican
234797704,230,Austin Scott,0.6754896978547116,Republican
22812754,230,Gregory W. Meeks,0.1605158782916833,Democrat
1343258042704527362,230,Pat Fallon,0.5839446400525263,Republican
20467163,228,Vern Buchanan,0.5339784669674089,Republican
2955485182,228,Mike Rounds,0.9043222644716892,Republican
1339931490,227,Robin L. Kelly,0.2020186686770302,Democrat
122174004,226,Dina Titus,0.2011336744293076,Democrat
1089334250,226,Andy Barr,0.6729031771362306,Republican
1089859058,226,Raul Ruiz,0.2869277965133194,Democrat
1325928411689349120,224,Maria Elvira Salazar,0.5493966001335441,Republican
1345883634046279681,220,Mondaire Jones,0.1184792666883278,Democrat
168502762,220,Eddie Bernice Johnson,0.1607871667843937,Democrat
1069124515,220,Doug LaMalfa,0.8400424632956409,Republican
1082369392229400576,220,Greg Pence,0.5465273677062333,Republican
1081312310059253763,220,John Rose,0.6065333229523625,Republican
817050219007328258,219,Lisa Blunt Rochester,0.2076138617878104,Democrat
124224165,218,Fred Upton,0.495772340590474,Republican
76452765,218,Robert B. Aderholt,0.6243720559424073,Republican
1075205691621720064,216,Bryan Steil,0.5723459845280741,Republican
516880804,215,Betty McCollum,0.1789949607859551,Democrat
1345739193721487362,214,Tommy Tuberville,0.7406313071760615,Republican
20545793,213,Kurt Schrader,0.3757775871021305,Democrat
3018670151,211,Pete Aguilar,0.2195635085490884,Democrat
15394954,210,Robert E. Latta,0.7124753087399308,Republican
2964287128,210,Rick W. Allen,0.7805643031383543,Republican
18030431,209,John R. Carter,0.5669232099442191,Republican
479872233,209,Lucille Roybal-Allard,0.1355058447313741,Democrat
823552974253342721,209,Anthony G. Brown,0.2044134870895932,Democrat
1074129612,208,Marc A. Veasey,0.2522561882630519,Democrat
935033864,207,Richard Hudson,0.7351487306282399,Republican
310310133,207,Stephen F. Lynch,0.1801572759229635,Democrat
2863006655,206,Brenda L. Lawrence,0.1693535331884185,Democrat
1330278736554582016,204,Jake Auchincloss,0.2131364852928509,Democrat
236279233,203,Norma J. Torres,0.2176774367729117,Democrat
816303263586914304,203,Brian K. Fitzpatrick,0.5684430399454143,Republican
161743731,200,Kay Granger,0.4924996993461777,Republican
960962340,200,Andy Harris,0.7478248155964086,Republican
1344677401465397249,200,Young Kim,0.4716397445592538,Republican
1344260196227555334,196,Stephanie I. Bice,0.5462867789851189,Republican
38254095,196,Doris O. Matsui,0.1917678786187591,Democrat
1155335864,195,"Donald M. Payne, Jr.",0.1422984587071206,Democrat
1260172386,194,Juan Vargas,0.1887420849187306,Democrat
50452197,193,John B. Larson,0.2202884188907132,Democrat
234057152,193,H. Morgan Griffith,0.6027251901255722,Republican
23124635,192,Tom Cole,0.6690994268999944,Republican
1340783304304410625,192,Ashley Hinson,0.6017500227613698,Republican
1341120751399809026,191,August Pfluger,0.5820196223960205,Republican
281540744,190,Daniel Webster,0.6466193587320425,Republican
1077446982,190,Roger Williams,0.7398513004546106,Republican
235190657,189,"Charles J. ""Chuck"" Fleischmann",0.6228269396993619,Republican
983348251972816896,188,Cindy Hyde-Smith,0.902918700348333,Republican
1222257180,187,Tony Cárdenas,0.1722781487053002,Democrat
27676828,187,Patrick T. McHenry,0.4936547002021747,Republican
2916086925,187,Alma S. Adams,0.1799612252040656,Democrat
558769636,184,Suzanne Bonamici,0.1505398621667261,Democrat
581141508,183,Marcy Kaptur,0.2599337415729894,Democrat
26051676,183,Gus M. Bilirakis,0.700559179095495,Republican
818713465653051392,183,Darren Soto,0.2336209294358866,Democrat
1880674038,183,Kathy Castor,0.1688724177750247,Democrat
1080865917377097728,182,Cynthia Axne,0.3805592954842191,Democrat
14984637,181,Chellie Pingree,0.2154183746626831,Democrat
899978622416695297,181,Kirsten E. Gillibrand,0.0740834258765107,Democrat
254082173,179,Joe Wilson,0.7062640717547072,Republican
993153006,178,Rodney Davis,0.7016507422071648,Republican
1074782372594413569,178,Dusty Johnson,0.6061954493342405,Republican
1028854804087492613,176,Tim Burchett,0.6091985606057468,Republican
1262531473057423361,174,Mike Garcia,0.5001210408215415,Republican
2966765501,172,John Katko,0.5124894389977853,Republican
1135486501,172,Scott H. Peters,0.3266278025779618,Democrat
385429543,172,Jerry McNerney,0.1853368464390125,Democrat
210926192,171,Henry Cuellar,0.4894114460254156,Democrat
995193054,169,Suzan K. DelBene,0.2431535962194452,Democrat
818975124460335106,169,Don Bacon,0.6903146028417936,Republican
1081318716573470720,168,Carol D. Miller,0.5728246423812411,Republican
234469322,167,Steve Womack,0.617900123449412,Republican
20552026,166,Ed Perlmutter,0.2797759692741051,Democrat
237862972,166,Tim Walberg,0.6489881760703322,Republican
22545491,166,Ken Calvert,0.6439689434105675,Republican
234812598,165,Larry Bucshon,0.6611066007053629,Republican
808416682972770304,165,Tom O’Halleran,0.4124156662220275,Democrat
1082427779583541248,165,"Jesús G. ""Chuy"" García",0.0510593032113896,Democrat
240427862,165,David B. McKinley,0.7652490399885257,Republican
776664410,164,Matt Cartwright,0.2830522506991881,Democrat
1345536897838436353,163,Bob Good,0.6853278707588548,Republican
984456621417000960,162,Conor Lamb,0.3394935332196663,Democrat
15356407,161,Robert J. Wittman,0.6781121754618101,Republican
1243902714,161,Julia Brownley,0.2282877481967102,Democrat
1343679195034103808,159,Carlos A. Gimenez,0.5278287931667759,Republican
976969338,157,David P. Joyce,0.6135842365745063,Republican
389840566,154,Steven Horsford,0.1869358640507991,Democrat
1069636653353000962,154,Susan Wild,0.2599548149162642,Democrat
245451804,153,Jim Costa,0.3412576197960315,Democrat
2914515430,153,Tom Emmer,0.7439296169312771,Republican
2976606250,152,Glenn Grothman,0.8138177839196741,Republican
1344750588026900481,152,Nicole Malliotakis,0.5266894213273949,Republican
2930635215,147,Dan Newhouse,0.7219362996844205,Republican
1343627416120532992,147,Tony Gonzales,0.4507133390330233,Republican
2861616083,146,Gary J. Palmer,0.6097775318045764,Republican
1140648348,146,Debbie Wasserman Schultz,0.2044481167210798,Democrat
1345103905869455361,143,Sara Jacobs,0.1962970533551182,Democrat
1071840474,142,Bradley Scott Schneider,0.3054439033918812,Democrat
1058345042,141,Tom Rice,0.6438796712003662,Republican
1345807954604412929,141,Mariannette Miller-Meeks,0.6753771256032505,Republican
1079770852302958592,140,William R. Timmons IV,0.6565575535794784,Republican
432676344,138,G. K. Butterfield,0.2405960015341826,Democrat
41417564,136,Lloyd Smucker,0.6218803231369792,Republican
233949261,135,Bill Huizenga,0.6813157209936594,Republican
834069080,134,David Rouzer,0.7674488923456275,Republican
39249305,133,Michael F. Doyle,0.2586006555858637,Democrat
404132211,132,Rick Larsen,0.2268276909798015,Democrat
816012124505931780,132,David Kustoff,0.658344526436293,Republican
3686482216,131,Darin LaHood,0.6043710805996192,Republican
1345461797361504259,131,Nikema Williams,0.1789946377155469,Democrat
168673083,130,David Scott,0.24940502050846,Democrat
249410485,129,"Sanford D. Bishop, Jr.",0.3284511088699861,Democrat
1908143071,129,Brett Guthrie,0.6178907665362885,Republican
1067818539179024386,127,Kevin Hern,0.6616890273534614,Republican
85396297,127,Joe Courtney,0.2771668667680326,Democrat
232992031,125,William R. Keating,0.2522271720319811,Democrat
806583915012046854,125,A. Drew Ferguson IV,0.649648433956842,Republican
1067748650485497862,125,Chris Pappas,0.330564859121436,Democrat
18696134,124,Albio Sires,0.1972560858243737,Democrat
18909919,124,James R. Langevin,0.2353823745436818,Democrat
1128514404,124,David G. Valadao,0.5883325537433741,Republican
816181091673448448,123,A. Donald McEachin,0.1954370619624915,Democrat
1080898026418384897,122,Tom Malinowski,0.2471889668482504,Democrat
1080462532815532032,120,Kim Schrier,0.2902547313599788,Democrat
796736612554117120,120,Jimmy Panetta,0.3021904901494712,Democrat
1267841066335682562,120,Thomas P. Tiffany,0.695622460141901,Republican
90639372,120,Dwight Evans,0.1589438556697816,Democrat
1080573351914061825,119,David J. Trone,0.2739764661568489,Democrat
1058917562,118,Derek Kilmer,0.3228150603487508,Democrat
2953974395,113,J. Hill,0.6308216876214591,Republican
1075830599007510535,112,Pete Stauber,0.6418349146930218,Republican
1058717720,111,Ann Kuster,0.3286550109053232,Democrat
242772524,110,Frank D. Lucas,0.5598723086465998,Republican
2964877294,110,Mike Bost,0.711191963824969,Republican
112740986,110,Ron Kind,0.4252869401858309,Democrat
1276403757224546304,110,Ritchie Torres,0.1849410425332067,Democrat
299883942,109,Steven M. Palazzo,0.7052061815612853,Republican
1849261916,109,Blaine Luetkemeyer,0.6742498507884475,Republican
1344375287484723205,109,Michelle Fischbach,0.5427320346945783,Republican
550401754,105,Harold Rogers,0.4967302404281311,Republican
1078741899572240384,105,Russ Fulcher,0.6045771537983928,Republican
29766367,104,Sam Graves,0.5285205554892655,Republican
84119348,104,Paul Tonko,0.2090179635249118,Democrat
1080891667308298240,104,Jared F. Golden,0.3997405257829335,Democrat
