,claim,URL,truth_value,date,topic
32,“U.S. acres burned each year are much fewer now — even in our worst years — than was the case in the early 20th century.”,https://www.politifact.com/factchecks/2021/oct/15/heartland-institute/no-wildfires-werent-bigger-1920s-and-30s-today/,barely-true,"October 11, 2021",climate-change
33,A wind turbine “could never generate as much energy as was invested in building it.”,https://www.politifact.com/factchecks/2021/oct/12/viral-image/actually-wind-turbines-easily-produce-more-power-i/,false,"September 16, 2021",climate-change
34,"""Bill Gates talked about using vaccines to control population growth” in an “unedited 2010 TED Talk video""",https://www.politifact.com/factchecks/2021/oct/11/blog-posting/bill-gates-didnt-say-he-wanted-use-vaccines-reduce/,false,"October 7, 2021",climate-change
35,“The Democrats want you American taxpayers to shell out $3 billion for ‘non-racist’ trees.”,https://www.politifact.com/factchecks/2021/sep/29/freedomworks/tree-equity-part-35t-bill-targets-low-income-areas/,barely-true,"September 28, 2021",climate-change
36,"“As a result of the massive decline in natural gas prices, we’re saving 11,000 lives per year in the U.S.”",https://www.politifact.com/factchecks/2021/sep/23/gary-palmer/do-low-natural-gas-prices-save-11000-lives-year/,half-true,"September 13, 2021",climate-change
37,"""Florida has had 119 hurricanes since 1850,” yet experts are saying “the last one was due to climate change.""",https://www.politifact.com/factchecks/2021/sep/13/viral-image/experts-say-climate-change-can-make-hurricanes-mor/,false,"September 8, 2021",climate-change
38,“The frequency of hurricanes making landfall in the continental U.S. has declined slightly since 1900...There aren’t more powerful hurricanes either.”,https://www.politifact.com/factchecks/2021/sep/09/bjorn-lomborg/hurricanes-and-climate-change-getting-real-numbers/,half-true,"September 3, 2021",climate-change
39,"Says the 1995 Chicago heat wave was “the largest single-day, non-war fatality in the United States” prior to 9/11, and “we are now expecting temperatures that hot in Chicago every summer.”",https://www.politifact.com/factchecks/2021/sep/01/sean-casten/fact-checking-castens-overheated-claim-about-extre/,barely-true,"August 23, 2021",climate-change
40,“It would cost $20 billion to end homelessness in the U.S.” and “halting global warming would cost $300 billion.”,https://www.politifact.com/factchecks/2021/aug/27/facebook-posts/no-consensus-cost-ending-homelessness-us-or-haltin/,barely-true,"July 29, 2021",climate-change
41,Says “Jeff Bezos will put 300 (metric tons) of carbon into the atmosphere for 180 seconds in space.”,https://www.politifact.com/factchecks/2021/jul/20/tweets/how-much-co2-did-bezos-rocket-ride-release-close-z/,false,"July 20, 2021",climate-change
42,A car flooded in Germany had a sticker critical of Greta Thunberg.,https://www.politifact.com/factchecks/2021/jul/19/viral-image/image-flooded-car-altered-include-sticker-critical/,false,"July 17, 2021",climate-change
43,Carbon dioxide “is not a problem. The Earth has more than enough land and ocean plant life to metabolize it.”,https://www.politifact.com/factchecks/2021/jul/15/facebook-posts/yes-excess-carbon-dioxide-atmosphere-problem-earth/,false,"July 10, 2021",climate-change
44,“California literally just told everyone to not charge their electric cars due to power shortage.”,https://www.politifact.com/factchecks/2021/jul/02/facebook-posts/can-californians-charge-electric-cars-during-summe/,false,"June 18, 2021",climate-change
45,"Says Greta Thunberg said, ""the climate crisis doesn’t exist.""",https://www.politifact.com/factchecks/2021/jun/22/instagram-posts/manipulated-video-distorts-greta-thunbergs-comment/,pants-fire,"June 21, 2021",climate-change
46,The Biden administration “ignores the negative environmental impact created by lithium mining.”,https://www.politifact.com/factchecks/2021/jun/09/chuck-grassley/mining-lithium-poses-environmental-risks-biden-adm/,false,"June 7, 2021",climate-change
47,"""Manufacturing the battery for one electric car produces the same amount of carbon dioxide as running a petrol car for eight years.""",https://www.politifact.com/factchecks/2021/may/11/viral-image/producing-electric-cars-battery-does-not-emit-same/,barely-true,"April 29, 2021",climate-change
48,"With the goal to preserve 30% of the earth’s land and water by 2030, “300 million people stand to lose their land and livelihood, most of them tribal and indigenous peoples.”",https://www.politifact.com/factchecks/2021/may/07/survival-international/would-protecting-30-worlds-land-and-waters-hurt-30/,barely-true,"April 22, 2021",climate-change
49,"The Green New Deal “costs an average American household almost $700,000 through 2029.”",https://www.politifact.com/factchecks/2021/may/05/ben-cline/no-green-new-deal-doesnt-cost-average-households-a/,false,"April 22, 2021",climate-change
50,Says Joe Biden is “going to control how much meat you can eat.”,https://www.politifact.com/factchecks/2021/apr/29/kevin-mccarthy/kevin-mccarthy-repeats-pants-fire-claim-biden-will/,pants-fire,"April 28, 2021",climate-change
51,"""Biden's climate requirements"" will ""cut 90% of red meat from diet"" to a ""max 4 lbs per year"" and ""one burger per month.""",https://www.politifact.com/factchecks/2021/apr/26/fox-news-channel/joe-biden-banning-burgers-fox-news-gop-politicians/,pants-fire,"April 23, 2021",climate-change
52,"“Those 30-, 40-year mortgages” prove that banks know climate change “is not going to happen.”",https://www.politifact.com/factchecks/2021/apr/26/instagram-posts/no-home-mortgages-dont-prove-climate-change-scam/,false,"April 21, 2021",climate-change
53,Two photos show climate change “is a hoax.”,https://www.politifact.com/factchecks/2021/apr/21/facebook-posts/no-two-photos-dont-reveal-sea-levels-dont-prove-cl/,false,"April 18, 2021",climate-change
54,Says Joe Biden’s infrastructure plan “is the Green New Deal.”,https://www.politifact.com/factchecks/2021/apr/02/citizens-united/citizens-united-calls-bidens-infrastructure-plan-g/,barely-true,"March 31, 2021",climate-change
55,"The Democratic clean energy plan is pro-China, because ""90% of the solar panels, 80% of the wind machines, 90% of the rare earth minerals … are in Asia or in China.”",https://www.politifact.com/factchecks/2021/mar/29/cathy-mcmorris-rodgers/clean-energy-depends-chinese-materials-expanding-i/,half-true,"March 18, 2021",climate-change
56,“Democrats have accomplished a lot in just 2 months ... 1 Million energy jobs destroyed.”,https://www.politifact.com/factchecks/2021/mar/17/kevin-mccarthy/gops-mccarthy-wrongly-accuses-democrats-destroying/,pants-fire,"March 14, 2021",climate-change
57,“Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”,https://www.politifact.com/factchecks/2021/mar/05/energy-transfer/gas-pipelines-didnt-freeze-during-texas-winter-sto/,true,"February 26, 2021",climate-change
58,Says Al Gore said in 2009 that “the North Pole will be ice-free in the summer by 2013 because of man-made global warming.”,https://www.politifact.com/factchecks/2021/mar/02/facebook-posts/fact-checking-claims-al-gore-said-all-arctic-ice-w/,mostly-true,"February 22, 2021",climate-change
59,"Says Ted Cruz tweeted, “I’ll believe in climate change when Texas freezes over.”",https://www.politifact.com/factchecks/2021/feb/19/viral-image/no-ted-cruz-didnt-tweet-hed-believe-climate-change/,false,"February 19, 2021",climate-change
60,Says Joe Biden “will redirect the $30 billion” that Donald Trump “left for U.S. farmers to ‘climate change.’”,https://www.politifact.com/factchecks/2021/feb/18/facebook-posts/biden-would-move-some-ag-funds-climate-change-hed-/,barely-true,"February 9, 2021",climate-change
61,“NASA admits that man-made climate change is a hoax!”,https://www.politifact.com/factchecks/2021/feb/16/viral-image/no-nasa-didnt-say-human-caused-climate-change-hoax/,false,"February 11, 2021",climate-change
62,Photo shows the “USS Al Gore Global Warming Research Vessel” covered in ice.,https://www.politifact.com/factchecks/2021/feb/16/viral-image/no-photo-doesnt-show-frozen-uss-al-gore-global-war/,false,"February 8, 2021",climate-change
63,Says that Hurricane Harvey “dropped more water on Houston in five days than goes over Niagara Falls in a year.”,https://www.politifact.com/factchecks/2021/feb/05/john-kerry/no-harvey-didnt-drop-more-water-houston-flows-over/,false,"January 31, 2021",climate-change
64,"Says that Biden’s ban on new federal leases will kill 120,000 Texas jobs.",https://www.politifact.com/factchecks/2021/jan/29/kevin-brady/texas-rep-misses-distinction-between-new-and-exist/,half-true,"January 22, 2021",climate-change
65,“84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”,https://www.politifact.com/factchecks/2021/jan/29/joe-biden/joe-biden-clean-energy-provide-84-new-electric-pow/,mostly-true,"January 27, 2021",climate-change
66,Says Joe Biden is “following through with a fracking ban.”,https://www.politifact.com/factchecks/2021/jan/28/facebook-posts/biden-fracking-policy-still-doesnt-amount-full-ban/,barely-true,"January 25, 2021",climate-change
67,Says Bill Gates said “at least 3 billion people need to die” from the planet.,https://www.politifact.com/factchecks/2021/jan/27/instagram-posts/bill-gates-didnt-say-3-billion-people-need-die-rev/,false,"January 25, 2021",climate-change
68,"The Paris Climate Agreement is “bad for America,” because it ""does nothing to hold real polluters, like Communist China and India, accountable.""",https://www.politifact.com/factchecks/2021/jan/26/rick-scott/paris-climate-agreement-easier-china-and-india-us/,barely-true,"January 20, 2021",climate-change
69,"Says that the Paris Climate Accord will cost the U.S. economy ""6.5 million jobs and $3 trillion in economic growth by 2040.""",https://www.politifact.com/factchecks/2021/jan/21/wayne-christian/attacking-paris-accord-texas-oil-regulator-selecti/,half-true,"January 5, 2021",climate-change
70,“The Green New Deal would require that 99% of homes in the country be torn down and rebuilt more ‘energy efficient’ over a ten year period.”,https://www.politifact.com/factchecks/2020/nov/01/instagram-posts/green-new-deal-would-not-require-99-homes-be-torn-/,false,"October 28, 2020",climate-change
71,"""Nancy Mace denies climate change.""",https://www.politifact.com/factchecks/2020/oct/19/joe-cunningham/sc-house-candidate-nancy-mace-hedges-doesnt-outrig/,mostly-true,"October 16, 2020",climate-change
72,"“With regard to hurricanes, the National Oceanic (and Atmospheric) Administration tells us that actually, as difficult as they are, there are no more hurricanes today than there were 100 years ago.”",https://www.politifact.com/factchecks/2020/oct/14/mike-pence/fact-checking-mike-pences-historical-hurricane-cla/,half-true,"October 7, 2020",climate-change
73,"Says Joe Biden’s website shows that he supports the Green New Deal, despite denials in debate.",https://www.politifact.com/factchecks/2020/oct/08/tiktok-posts/says-joe-bidens-website-shows-he-supports-green-ne/,half-true,"October 1, 2020",climate-change
74,The man in a mugshot is “responsible for lighting 32 of the wildfires” on the West Coast.,https://www.politifact.com/factchecks/2020/sep/21/facebook-posts/no-man-wasnt-arrested-lighting-32-wildfires-west-c/,false,"September 20, 2020",climate-change
75,Map shows that wildfires stop at the US.-Canada border.,https://www.politifact.com/factchecks/2020/sep/15/viral-image/no-wildfires-dont-stop-us-canada-border/,false,"September 12, 2020",climate-change
76,"West Coast wildfires are due to “bad forest maintenance,” not climate change.",https://www.politifact.com/factchecks/2020/sep/15/facebook-posts/climate-change-created-conditions-west-coast-fires/,false,"September 10, 2020",climate-change
77,The United Nations’ “new world order” agenda will create one world government with one world military and the end of national sovereignty.,https://www.politifact.com/factchecks/2020/jul/24/viral-image/facebook-post-distorts-uns-sustainable-development/,false,"May 9, 2020",climate-change
78,"Says Joe Biden plans to “mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.”",https://www.politifact.com/factchecks/2020/jul/17/donald-trump/trump-said-biden-wants-mandate-net-zero-emission-b/,false,"July 14, 2020",climate-change
79,"“We’ve also seen in the time that he’s (Donald Trump) been president, an increase in carbon emissions going absolutely in the wrong way.”",https://www.politifact.com/factchecks/2020/feb/16/jan-schakowsky/have-carbon-emissions-increased-under-trump/,mostly-true,"February 12, 2020",climate-change
80,"“Over the past two years, climate and weather disaster damage has cost the U.S. over $400 billion.”",https://www.politifact.com/factchecks/2020/feb/05/tammy-baldwin/wisconsin-sen-baldwin-makes-cents-costs-climate-ch/,mostly-true,"December 10, 2019",climate-change
81,"""That’s 5,615 projected coal-powered plants in just 8 countries. The USA has 15 - building 0 more.""",https://www.politifact.com/factchecks/2020/jan/13/facebook-posts/number-coal-plants-us-world-wrong/,false,"August 23, 2019",climate-change
82,"""We cut New York City’s carbon footprint twice as much as the rest of the country.""",https://www.politifact.com/factchecks/2020/jan/11/michael-bloomberg/bloomberg-claims-gains-carbon-footprint-mayor/,mostly-true,"December 15, 2019",climate-change
83,"""The Australia bushfires have nothing to do with climate change; it was arson.""",https://www.politifact.com/factchecks/2020/jan/10/facebook-posts/those-claims-about-nearly-200-arrested-arson-austr/,false,"January 7, 2020",climate-change
84,"California firefighters decided ""to speak out"" against President Trump because his tweet about the state’s wildfires ""contained so much misinformation.""",https://www.politifact.com/factchecks/2019/dec/18/joe-biden/california-firefighters-spoke-out-against-presiden/,true,"December 12, 2019",climate-change
85,"""Roughly one in four fish eaten in the United States was caught here and sent to Asia for processing before being re-imported for American consumers.""",https://www.politifact.com/factchecks/2019/dec/13/elizabeth-warren/fish-tale-elizabeth-warren-goes-overboard-claim-re/,barely-true,"December 10, 2019",climate-change
86,"""In Bakersfield, where there’s a lot of oil drilling going on, there’s more solar jobs now in Bakersfield and around that area than there are oil jobs.""",https://www.politifact.com/factchecks/2019/dec/06/arnold-schwarzenegger/more-jobs-solar-oil-bakersfield-arnold-schwarzeneg/,false,"December 1, 2019",climate-change
87,"Candidates who are supporting the Green New Deal are ""promoting abortion in third world countries to control the population!""",https://www.politifact.com/factchecks/2019/nov/01/nikki-haley/nikki-haleys-claim-linking-green-new-deal-abortion/,barely-true,"October 26, 2019",climate-change
88,Say Sen. Lindsey Graham supports the Green New Deal.,https://www.politifact.com/factchecks/2019/oct/28/blog-posting/no-lindsey-graham-does-not-support-green-new-deal/,pants-fire,"October 25, 2019",climate-change
89,Says a photo shows Greta Thunberg posing next to George Soros and with ISIS.,https://www.politifact.com/factchecks/2019/sep/27/facebook-posts/greta-thunberg-did-not-pose-isis-or-george-soros/,false,"September 23, 2019",climate-change
90,"The Green New Deal ""would put a $600,000 tax burden on every household.""",https://www.politifact.com/factchecks/2019/sep/27/republican-party-florida/gop-talking-point-green-new-deal-will-cost-every-h/,false,"September 20, 2019",climate-change
91,Says a photo shows that climate change protesters left trash all over their protest side.,https://www.politifact.com/factchecks/2019/sep/24/facebook-posts/photo-doesnt-show-trash-left-climate-strike-protes/,false,"September 20, 2019",climate-change
92,"Says she ""sued Exxon Mobil"" as California attorney general.",https://www.politifact.com/factchecks/2019/sep/06/kamala-harris/kamala-harris-said-she-sued-exxon-mobil-california/,false,"September 4, 2019",climate-change
93,"""70% of the pollution of the carbon that we're throwing into the air comes from three industries.""",https://www.politifact.com/factchecks/2019/sep/06/elizabeth-warren/elizabeth-warren-blamed-3-industries-70-greenhouse/,half-true,"September 4, 2019",climate-change
94,"Says Alexandria Ocasio-Cortez tweeted, ""I see people are rushing out to fill up their cars for this hurricane at the gas station. This wouldn’t be an issue if they had electric cars. If the power is out for a week how are they going to get gas? We need to start planning ahead and moving forward.""",https://www.politifact.com/factchecks/2019/sep/06/viral-image/no-aoc-didnt-tweet-about-electric-cars-and-hurrica/,false,"September 4, 2019",climate-change
95,"""Most climate scientists agree that we only have less than a decade to turn things around or else we’ll be stuck with a 'worst case scenario' including rising sea levels, devastating droughts, and worsening famines.""",https://www.politifact.com/factchecks/2019/sep/01/sean-casten/does-science-say-time-running-out-stop-climate-dis/,mostly-true,"August 18, 2019",climate-change
96,"""Trump is as destructive a person in this century as Hitler, Stalin, and Mao were in the last century. He may be responsible for many more million deaths than they were.""",https://www.politifact.com/factchecks/2019/aug/26/allen-frances/pants-fire-claim-donald-trump-has-much-blood-his-h/,pants-fire,"August 25, 2019",climate-change
97,Says that ice melting in a cup illustrates that sea levels don’t rise when icebergs melt.,https://www.politifact.com/factchecks/2019/aug/12/viral-image/viral-photo-ice-melting-cup-misrepresents-icebergs/,false,"July 31, 2019",climate-change
98,"""Fringe leftists are now advocating for cow fart bags to capture farts as a way to help prevent ‘global warming.’""",https://www.politifact.com/factchecks/2019/aug/06/facebook-posts/facebook-post-mischaracterizes-scientists-cow-flat/,barely-true,"July 29, 2019",climate-change
99,"""The vast majority of Americans believe that climate change is real and we need to do something about it.""",https://www.politifact.com/factchecks/2019/jun/06/michael-bennet/michael-bennet-right-majority-say-effects-global-w/,mostly-true,"May 30, 2019",climate-change
100,"""How to Survive The Coming Ice Age"" was a Time magazine cover story in 1977.",https://www.politifact.com/factchecks/2019/may/23/viral-image/no-time-magazine-cover-didnt-tell-readers-how-surv/,false,"May 20, 2019",climate-change
101,"""Race is the No. 1 indicator for where toxic and polluting facilities are today.""",https://www.politifact.com/factchecks/2019/may/14/beto-orourke/beto-orourkes-climate-change-plan-says-race-no1-in/,mostly-true,"April 29, 2019",climate-change
102,"""I’m one of the first guys to introduce a climate change bill, way, way back in ‘87.""",https://www.politifact.com/factchecks/2019/may/08/joe-biden/was-joe-biden-climate-change-pioneer-congress-hist/,true,"May 1, 2019",climate-change
103,"""60 million Americans live in a place where the water they drink is unsafe.""",https://www.politifact.com/factchecks/2019/may/07/beto-orourke/beto-orourke-says-60-million-americans-have-unsafe/,barely-true,"April 29, 2019",climate-change
104,"""When the wind stops blowing, that’s the end of your electric.""",https://www.politifact.com/factchecks/2019/apr/03/donald-trump/fact-checking-donald-trumps-take-wind-energy/,barely-true,"March 2, 2019",climate-change
105,"Says Alexandria Ocasio-Cortez said, ""We need to repeal Daylight Savings Time as a primary measure to decrease the rate of climate change. Less hours of sun shine equal less heat hitting Earth’s surface.""",https://www.politifact.com/factchecks/2019/apr/02/viral-image/no-alexandria-ocasio-cortez-didnt-advocate-repeali/,pants-fire,"March 30, 2019",climate-change
106,"""We have flown a Boeing 737 across the Atlantic Ocean on biofuels. We have flown F-18s.""",https://www.politifact.com/factchecks/2019/mar/21/jay-inslee/fact-checking-climate-change-crusader-jay-inlees-m/,mostly-true,"March 19, 2019",climate-change
107,"""We have developed a wind industry (in Washington state) from zero to $6 billion in 12 years.""",https://www.politifact.com/factchecks/2019/mar/13/jay-inslee/did-washington-state-build-6-billion-wind-farms-ov/,mostly-true,"March 10, 2019",climate-change
108,"""The forest fires were so grotesque last year that we had the worst air in the world in Washington.""",https://www.politifact.com/factchecks/2019/mar/08/jay-inslee/fact-checking-presidential-candidate-jay-inslee-cl/,mostly-true,"February 20, 2019",climate-change
109,"The Democrats’ Green New Deal includes ""working towards ending air travel.""",https://www.politifact.com/factchecks/2019/feb/28/rick-scott/no-green-new-deal-doesnt-ban-air-travel-florida-se/,false,"February 25, 2019",climate-change
110,"""Our country has succeeded in reducing greenhouse emissions in previous years.""",https://www.politifact.com/factchecks/2019/feb/26/morgan-griffith/morgan-griffiths-claim-us-has-cut-greenhouse-emiss/,half-true,"February 11, 2019",climate-change
111,"""Climate change is nothing but a bunch of computer models that attempt to tell us what's going to happen in 50 years or 30. Notice the predictions are never for next year or the next 10 years. They're always for way, way, way, way out there, when none of us are going to be around or alive to know whether or not they were true.""",https://www.politifact.com/factchecks/2019/feb/19/rush-limbaugh/scientists-response-rush-limbaughs-climate-denial-/,false,"February 17, 2019",climate-change
112,"""We need to also recognize that we just had two of the coldest years, biggest drop in global temperatures that we have had since the 1980s, the biggest in the last 100 years. We don't talk about that.""",https://www.politifact.com/factchecks/2018/nov/28/danielle-pletka/recent-cold-spells-irrelevant-climate-change-big-p/,false,"November 25, 2018",climate-change
113,"Says Texas U.S. Rep. John Culberson ""was caught using campaign cash on collectibles, including Civil War memorabilia and fossils.""",https://www.politifact.com/factchecks/2018/nov/03/environmental-defense-fund-action/did-texas-us-rep-john-culberson-use-campaign-money/,mostly-true,"October 29, 2018",climate-change
114,"""Puerto Rico’s electric grid and their electric generating plant was dead before the storms ever hit. It was in very bad shape. It was in bankruptcy. It had no money. It was largely -- you know, it was largely closed.""",https://www.politifact.com/factchecks/2018/sep/13/donald-trump/puerto-ricos-power-grid-was-weak-not-dead-hurrican/,half-true,"September 11, 2018",climate-change
115,"Studies are showing California’s wildfires ""are producing more emissions than all of our cars are doing.""",https://www.politifact.com/factchecks/2018/aug/29/kevin-mccarthy/wildfires-or-cars-which-produces-more-emissions/,half-true,"August 15, 2018",climate-change
116,Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,https://www.politifact.com/factchecks/2018/jun/20/jim-spencer/jim-spencer-may-2018-marked-401st-month-global-tem/,mostly-true,"June 18, 2018",climate-change
117,"""You’re going to have an increase in the amount of ice in Antarctica because of global warming.""",https://www.politifact.com/factchecks/2018/may/21/mo-brooks/mo-brooks-incomplete-comments-antarctic-ice/,barely-true,"May 16, 2018",climate-change
118,"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",https://www.politifact.com/factchecks/2018/jan/29/donald-trump/trump-gets-polar-ice-trend-backwards/,pants-fire,"January 26, 2018",climate-change
119,"""BUSTED: NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.""",https://www.politifact.com/factchecks/2017/nov/20/americannewscom/no-nasa-antarctica-study-didnt-discredit-climate-c/,false,"November 8, 2017",climate-change
120,"""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.""",https://www.politifact.com/factchecks/2017/sep/08/blog-posting/no-30000-scientists-have-not-said-climate-change-h/,pants-fire,"September 2, 2017",climate-change
121,"""Most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.""",https://www.politifact.com/factchecks/2017/jun/22/rick-perry/rick-perry-wrongly-downplays-human-role-climate-ch/,false,"June 19, 2017",climate-change
